Date,Open,High,Low,Close,Volume
2023-01-03,100,100,100,100,10000
2023-01-04,100,100,100,100,10000
2023-01-05,100,100,100,100,10000
2023-01-06,100,100,100,100,10000
2023-01-09,100,100,100,100,10000
2023-01-10,100,100,100,100,10000
2023-01-11,100,100,100,100,10000
2023-01-12,100,100,100,100,10000
2023-01-13,100,100,100,100,10000
2023-01-17,100,100,100,100,10000
2023-01-18,100,100,100,100,10000
2023-01-19,100,100,100,100,10000
2023-01-20,100,100,100,100,10000
2023-01-23,100,100,100,100,10000
2023-01-24,100,100,100,100,10000
2023-01-25,100,100,100,100,10000
2023-01-26,100,100,100,100,10000
2023-01-27,100,100,100,100,10000
2023-01-30,100,100,100,100,10000
2023-01-31,100,100,100,100,10000
2023-02-01,100,100,100,100,10000
2023-02-02,100,100,100,100,10000
2023-02-03,100,100,100,100,10000
2023-02-06,100,100,100,100,10000
2023-02-07,100,100,100,100,10000
2023-02-08,100,100,100,100,10000
2023-02-09,100,100,100,100,10000
2023-02-10,100,100,100,100,10000
2023-02-13,100,100,100,100,10000
2023-02-14,100,100,100,100,10000
2023-02-15,100,100,100,100,10000
2023-02-16,100,100,100,100,10000
2023-02-17,100,100,100,100,10000
2023-02-21,100,100,100,100,10000
2023-02-22,100,100,100,100,10000
2023-02-23,100,100,100,100,10000
2023-02-24,100,100,100,100,10000
2023-02-27,100,100,100,100,10000
2023-02-28,100,100,100,100,10000
2023-03-01,100,100,100,100,10000
2023-03-02,100,100,100,100,10000
2023-03-03,100,100,100,100,10000
2023-03-06,100,100,100,100,10000
2023-03-07,100,100,100,100,10000
2023-03-08,100,100,100,100,10000
2023-03-09,100,100,100,100,10000
2023-03-10,100,100,100,100,10000
2023-03-13,100,100,100,100,10000
2023-03-14,100,100,100,100,10000
2023-03-15,100,100,100,100,10000
2023-03-16,100,100,100,100,10000
2023-03-17,100,100,100,100,10000
2023-03-20,100,100,100,100,10000
2023-03-21,100,100,100,100,10000
2023-03-22,100,100,100,100,10000
2023-03-23,100,100,100,100,10000
2023-03-24,100,100,100,100,10000
2023-03-27,100,100,100,100,10000
2023-03-28,100,100,100,100,10000
2023-03-29,100,100,100,100,10000
2023-03-30,100,100,100,100,10000
2023-03-31,100,100,100,100,10000
2023-04-03,100,100,100,100,10000
2023-04-04,100,100,100,100,10000
2023-04-05,100,100,100,100,10000
2023-04-06,100,100,100,100,10000
2023-04-10,100,100,100,100,10000
2023-04-11,100,100,100,100,10000
2023-04-12,100,100,100,100,10000
2023-04-13,100,100,100,100,10000
2023-04-14,100,100,100,100,10000
2023-04-17,100,100,100,100,10000
2023-04-18,100,100,100,100,10000
2023-04-19,100,100,100,100,10000
2023-04-20,100,100,100,100,10000
2023-04-21,100,100,100,100,10000
2023-04-24,100,100,100,100,10000
2023-04-25,100,100,100,100,10000
2023-04-26,100,100,100,100,10000
2023-04-27,100,100,100,100,10000
2023-04-28,100,100,100,100,10000
2023-05-01,100,100,100,100,10000
2023-05-02,100,100,100,100,10000
2023-05-03,100,100,100,100,10000
2023-05-04,100,100,100,100,10000
2023-05-05,100,100,100,100,10000
2023-05-08,100,100,100,100,10000
2023-05-09,100,100,100,100,10000
2023-05-10,100,100,100,100,10000
2023-05-11,100,100,100,100,10000
2023-05-12,100,100,100,100,10000
2023-05-15,100,100,100,100,10000
2023-05-16,100,100,100,100,10000
2023-05-17,100,100,100,100,10000
2023-05-18,100,100,100,100,10000
2023-05-19,100,100,100,100,10000
2023-05-22,100,100,100,100,10000
2023-05-23,100,100,100,100,10000
2023-05-24,100,100,100,100,10000
2023-05-25,100,100,100,100,10000
2023-05-26,100,100,100,100,10000
2023-05-30,100,100,100,100,10000
2023-05-31,100,100,100,100,10000
2023-06-01,100,100,100,100,10000
2023-06-02,100,100,100,100,10000
2023-06-05,100,100,100,100,10000
2023-06-06,100,100,100,100,10000
2023-06-07,100,100,100,100,10000
2023-06-08,100,100,100,100,10000
2023-06-09,100,100,100,100,10000
2023-06-12,100,100,100,100,10000
2023-06-13,100,100,100,100,10000
2023-06-14,100,100,100,100,10000
2023-06-15,100,100,100,100,10000
2023-06-16,100,100,100,100,10000
2023-06-20,100,100,100,100,10000
2023-06-21,100,100,100,100,10000
2023-06-22,100,100,100,100,10000
2023-06-23,100,100,100,100,10000
2023-06-26,100,100,100,100,10000
2023-06-27,100,100,100,100,10000
2023-06-28,100,100,100,100,10000
2023-06-29,100,100,100,100,10000
2023-06-30,100,100,100,100,10000
