Date,BAMLH0A0HYM2,Ticker,data_flag,DGS10
2020-01-01,,BAMLH0A0HYM2,actual,
2020-01-02,3.56,BAMLH0A0HYM2,actual,
2020-01-03,3.61,BAMLH0A0HYM2,actual,
2020-01-06,3.57,BAMLH0A0HYM2,actual,
2020-01-07,3.54,BAMLH0A0HYM2,actual,
2020-01-08,3.5,BAMLH0A0HYM2,actual,
2020-01-09,3.49,BAMLH0A0HYM2,actual,
2020-01-10,3.48,BAMLH0A0HYM2,actual,
2020-01-13,3.48,BAMLH0A0HYM2,actual,
2020-01-14,3.45,BAMLH0A0HYM2,actual,
2020-01-15,3.44,BAMLH0A0HYM2,actual,
2020-01-16,3.42,BAMLH0A0HYM2,actual,
2020-01-17,3.39,BAMLH0A0HYM2,actual,
2020-01-20,3.38,BAMLH0A0HYM2,actual,
2020-01-21,3.47,BAMLH0A0HYM2,actual,
2020-01-22,3.49,BAMLH0A0HYM2,actual,
2020-01-23,3.58,BAMLH0A0HYM2,actual,
2020-01-24,3.68,BAMLH0A0HYM2,actual,
2020-01-27,4.03,BAMLH0A0HYM2,actual,
2020-01-28,3.86,BAMLH0A0HYM2,actual,
2020-01-29,3.83,BAMLH0A0HYM2,actual,
2020-01-30,3.95,BAMLH0A0HYM2,actual,
2020-01-31,4.03,BAMLH0A0HYM2,actual,
2020-02-03,3.97,BAMLH0A0HYM2,actual,
2020-02-04,3.85,BAMLH0A0HYM2,actual,
2020-02-05,3.75,BAMLH0A0HYM2,actual,
2020-02-06,3.7,BAMLH0A0HYM2,actual,
2020-02-07,3.75,BAMLH0A0HYM2,actual,
2020-02-10,3.75,BAMLH0A0HYM2,actual,
2020-02-11,3.65,BAMLH0A0HYM2,actual,
2020-02-12,3.59,BAMLH0A0HYM2,actual,
2020-02-13,3.57,BAMLH0A0HYM2,actual,
2020-02-14,3.56,BAMLH0A0HYM2,actual,
2020-02-17,3.56,BAMLH0A0HYM2,actual,
2020-02-18,3.61,BAMLH0A0HYM2,actual,
2020-02-19,3.57,BAMLH0A0HYM2,actual,
2020-02-20,3.62,BAMLH0A0HYM2,actual,
2020-02-21,3.66,BAMLH0A0HYM2,actual,
2020-02-24,4.03,BAMLH0A0HYM2,actual,
2020-02-25,4.18,BAMLH0A0HYM2,actual,
2020-02-26,4.27,BAMLH0A0HYM2,actual,
2020-02-27,4.62,BAMLH0A0HYM2,actual,
2020-02-28,5.04,BAMLH0A0HYM2,actual,
2020-02-29,5.06,BAMLH0A0HYM2,actual,
2020-03-02,4.97,BAMLH0A0HYM2,actual,
2020-03-03,4.84,BAMLH0A0HYM2,actual,
2020-03-04,4.75,BAMLH0A0HYM2,actual,
2020-03-05,5.05,BAMLH0A0HYM2,actual,
2020-03-06,5.64,BAMLH0A0HYM2,actual,
2020-03-09,6.68,BAMLH0A0HYM2,actual,
2020-03-10,6.38,BAMLH0A0HYM2,actual,
2020-03-11,6.61,BAMLH0A0HYM2,actual,
2020-03-12,7.42,BAMLH0A0HYM2,actual,
2020-03-13,7.31,BAMLH0A0HYM2,actual,
2020-03-16,8.38,BAMLH0A0HYM2,actual,
2020-03-17,8.41,BAMLH0A0HYM2,actual,
2020-03-18,9.04,BAMLH0A0HYM2,actual,
2020-03-19,9.82,BAMLH0A0HYM2,actual,
2020-03-20,10.09,BAMLH0A0HYM2,actual,
2020-03-23,10.87,BAMLH0A0HYM2,actual,
2020-03-24,10.55,BAMLH0A0HYM2,actual,
2020-03-25,10.11,BAMLH0A0HYM2,actual,
2020-03-26,9.29,BAMLH0A0HYM2,actual,
2020-03-27,8.99,BAMLH0A0HYM2,actual,
2020-03-30,8.82,BAMLH0A0HYM2,actual,
2020-03-31,8.77,BAMLH0A0HYM2,actual,
2020-04-01,9.11,BAMLH0A0HYM2,actual,
2020-04-02,9.17,BAMLH0A0HYM2,actual,
2020-04-03,9.43,BAMLH0A0HYM2,actual,
2020-04-06,9.26,BAMLH0A0HYM2,actual,
2020-04-07,8.88,BAMLH0A0HYM2,actual,
2020-04-08,8.81,BAMLH0A0HYM2,actual,
2020-04-09,7.96,BAMLH0A0HYM2,actual,
2020-04-10,,BAMLH0A0HYM2,actual,
2020-04-13,7.7,BAMLH0A0HYM2,actual,
2020-04-14,7.35,BAMLH0A0HYM2,actual,
2020-04-15,7.64,BAMLH0A0HYM2,actual,
2020-04-16,7.58,BAMLH0A0HYM2,actual,
2020-04-17,7.31,BAMLH0A0HYM2,actual,
2020-04-20,7.52,BAMLH0A0HYM2,actual,
2020-04-21,7.9,BAMLH0A0HYM2,actual,
2020-04-22,7.85,BAMLH0A0HYM2,actual,
2020-04-23,7.87,BAMLH0A0HYM2,actual,
2020-04-24,8.03,BAMLH0A0HYM2,actual,
2020-04-27,8.01,BAMLH0A0HYM2,actual,
2020-04-28,8.02,BAMLH0A0HYM2,actual,
2020-04-29,7.87,BAMLH0A0HYM2,actual,
2020-04-30,7.63,BAMLH0A0HYM2,actual,
2020-05-01,7.7,BAMLH0A0HYM2,actual,
2020-05-04,7.79,BAMLH0A0HYM2,actual,
2020-05-05,7.6,BAMLH0A0HYM2,actual,
2020-05-06,7.6,BAMLH0A0HYM2,actual,
2020-05-07,7.6,BAMLH0A0HYM2,actual,
2020-05-08,7.52,BAMLH0A0HYM2,actual,
2020-05-11,7.51,BAMLH0A0HYM2,actual,
2020-05-12,7.42,BAMLH0A0HYM2,actual,
2020-05-13,7.61,BAMLH0A0HYM2,actual,
2020-05-14,7.77,BAMLH0A0HYM2,actual,
2020-05-15,7.78,BAMLH0A0HYM2,actual,
2020-05-18,7.41,BAMLH0A0HYM2,actual,
2020-05-19,7.35,BAMLH0A0HYM2,actual,
2020-05-20,7.16,BAMLH0A0HYM2,actual,
2020-05-21,7.08,BAMLH0A0HYM2,actual,
2020-05-22,7.06,BAMLH0A0HYM2,actual,
2020-05-25,7.06,BAMLH0A0HYM2,actual,
2020-05-26,6.75,BAMLH0A0HYM2,actual,
2020-05-27,6.7,BAMLH0A0HYM2,actual,
2020-05-28,6.6,BAMLH0A0HYM2,actual,
2020-05-29,6.71,BAMLH0A0HYM2,actual,
2020-05-31,6.54,BAMLH0A0HYM2,actual,
2020-06-01,6.43,BAMLH0A0HYM2,actual,
2020-06-02,6.18,BAMLH0A0HYM2,actual,
2020-06-03,5.8,BAMLH0A0HYM2,actual,
2020-06-04,5.83,BAMLH0A0HYM2,actual,
2020-06-05,5.5,BAMLH0A0HYM2,actual,
2020-06-08,5.51,BAMLH0A0HYM2,actual,
2020-06-09,5.75,BAMLH0A0HYM2,actual,
2020-06-10,5.92,BAMLH0A0HYM2,actual,
2020-06-11,6.4,BAMLH0A0HYM2,actual,
2020-06-12,6.28,BAMLH0A0HYM2,actual,
2020-06-15,6.25,BAMLH0A0HYM2,actual,
2020-06-16,5.78,BAMLH0A0HYM2,actual,
2020-06-17,5.85,BAMLH0A0HYM2,actual,
2020-06-18,6.01,BAMLH0A0HYM2,actual,
2020-06-19,6.02,BAMLH0A0HYM2,actual,
2020-06-22,6.03,BAMLH0A0HYM2,actual,
2020-06-23,6.02,BAMLH0A0HYM2,actual,
2020-06-24,6.23,BAMLH0A0HYM2,actual,
2020-06-25,6.3,BAMLH0A0HYM2,actual,
2020-06-26,6.41,BAMLH0A0HYM2,actual,
2020-06-29,6.52,BAMLH0A0HYM2,actual,
2020-06-30,6.44,BAMLH0A0HYM2,actual,
2020-07-01,6.33,BAMLH0A0HYM2,actual,
2020-07-02,6.17,BAMLH0A0HYM2,actual,
2020-07-03,6.17,BAMLH0A0HYM2,actual,
2020-07-06,6.03,BAMLH0A0HYM2,actual,
